,Unnamed: 0,Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,diameter_nm,abs_nm,emission_nm
16,16,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.401972958,-0.527397959,-0.302794283,-0.143370006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5.49,613.7013636363637,603
17,17,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.401972958,-0.527397959,-0.302794283,-0.112147975,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5.55,613.7013636363637,604
18,18,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.236682248,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2.6,526.0,556
19,19,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.236328398,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.2,559.0,580
20,20,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.235620699,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.6,574.0,598
21,21,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.234954629,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.9,582.0,601
22,22,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.236099436,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.23,556.0,562
23,23,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.235329293,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.61,570.0,577
24,24,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.234600779,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.86,574.0,588
25,25,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.221425082,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4.74,605.0,624
