Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,diameter_nm,abs_nm,emission_nm
1.102480341,-0.4387818,-0.245226754,-0.525726463,-0.417578052,-0.166760388,-0.124144708,-0.302794283,-0.226628754,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.41,566,575
0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.236682248,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2.6,526,556
0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.236328398,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.2,559,580
0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.235620699,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.6,574,598
0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.234954629,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.9,582,601
0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.236099436,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.23,556,562
0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.235329293,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.61,570,577
0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.234600779,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.86,574,588
0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.221425082,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4.74,605,624
0.325710098,-0.473265357,-0.565640024,-0.415976481,-0.49946256,-0.072844578,-0.461326958,-0.302794283,-0.195406723,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.7,578,580
0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,-0.234954629,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.7,577,600
0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,-0.235662328,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.9,543,577
0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,-0.236349213,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.69,530,547
0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,0.108487708,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.39,506,505
0.015002,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.22,473,488
-0.295706097,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.9,459,477
-0.606414194,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.8,440,459
-0.917122291,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.6,427,454
0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.226628754,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.2,412,None
