,Unnamed: 0,Unnamed: 0.1,in_amount_mmol,p_amount_mmol,ligand_amount_mmol,first_sol_amount_ml,second_sol_amount_ml,third_sol_amount_ml,other_1_amount_mmol,other_2_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium palmitate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_None,x2_dodecanethiol,x2_lauric acid,x2_myristic acid,x2_oleic acid,x2_palmitic acid,x2_stearic acid,x3_4-ethylpyridine,x3_None,x3_dimethylformamide,x3_dodecylamine,x3_mesitylene,x3_octadecene,x3_oleylamine,x3_trioctylamine,x3_trioctylphosphine,x3_trioctylphosphine oxide,x4_None,x4_dioctyl ether,x4_dioctylamine,x4_hexadecylamine,x4_octylamine,x4_oleylamine,x4_toluene,x4_trioctylphosphine,x4_trioctylphosphine oxide,x5_None,x5_trioctylphosphine,x6_None,x6_acetic acid,x6_superhydride,x6_tetrabutylammonium myristate,x6_zinc acetate,x6_zinc bromide,x6_zinc chloride,x6_zinc iodide,x6_zinc octanoate,x6_zinc oleate,x6_zinc stearate,x6_zinc undecylenate,x7_None,x7_copper bromide,x7_oleic acid,x7_water,x7_zinc iodide,diameter_nm,abs_nm,emission_nm,
11,11,11,-0.299813727,-0.011188334,-0.439228154,-0.589500613,-0.370637337,-0.096002403,0.172095359,-0.146248879,-0.590680897,-0.815936773,-0.305862126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.7,480,525,45
12,12,12,-0.423737991,-0.412509003,-0.439228154,-0.581374508,-0.370637337,-0.096002403,0.457150283,-0.146248879,-0.583218833,-1.413229764,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,None,492,529,37
13,13,13,-0.423737991,-0.412509003,-0.439228154,-0.581374508,-0.370637337,-0.096002403,0.457150283,-0.146248879,-0.583218833,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,None,522,555,33
14,14,14,-0.423737991,-0.522689769,-0.439228154,-0.581374508,-0.370637337,-0.096002403,0.457150283,-0.146248879,-0.583218833,-0.815936773,-0.282373108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,None,430,482,52
15,15,15,-0.423737991,0.134746455,-0.439228154,-0.425463463,0.314283865,-0.096002403,-0.444239613,-0.146248879,-0.351515422,-0.019546118,-0.308037035,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.6,492,554,62
16,16,16,-0.423737991,0.134746455,-0.439228154,-0.425463463,0.314283865,-0.096002403,-0.444239613,-0.146248879,-0.351515422,-0.019546118,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.6,611,643,32
17,17,17,0.071959067,0.20771385,-0.439228154,-0.537369579,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.542809859,-0.815936773,-0.30673209,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,None,485,530,45
18,18,18,-0.423737991,-0.259277475,-0.439228154,-0.537369579,-0.370637337,-0.096002403,-0.112959566,-0.146248879,-0.542809859,-0.815936773,-0.30673209,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,None,505,530,25
19,19,19,-0.588970344,1.448159556,-0.323906014,-0.535647947,-0.370637337,-0.096002403,-0.675365227,-0.146248879,-0.541228914,-0.417741445,-0.295422563,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5,601,633,32
20,20,20,-0.588970344,1.448159556,-0.323906014,-0.535647947,-0.370637337,-0.096002403,-0.675365227,-0.146248879,-0.541228914,0.776844537,-0.295422563,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.3,620,648.8333333,28.83333333
21,21,21,-0.588970344,1.448159556,-0.323906014,-0.535647947,-0.370637337,-0.096002403,-0.675365227,-0.146248879,-0.541228914,0.179551546,-0.295422563,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5,623,648.8333333,25.83333333
23,23,23,-0.299813727,1.068729104,-0.439228154,-0.53399518,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.539711206,-0.417741445,-0.291072745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.6,553,592,39
24,24,24,-0.299813727,0.426616033,-0.439228154,-0.53399518,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.539711206,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.48,560.0689655,600.5,40.43103448
25,25,25,-0.258505638,1.265741069,-0.439228154,-0.53399518,-0.370637337,-0.096002403,0.480262844,2.157960073,-0.539711206,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,490,560,70
26,26,26,0.782458183,0.017998624,-0.439228154,-0.508101826,-0.261919686,-0.096002403,-0.675365227,-0.146248879,-0.501452318,0.975942201,3.449770807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5,595,669.1666667,74.16666667
27,27,27,0.782458183,0.017998624,-0.439228154,-0.508101826,-0.261919686,-0.096002403,-0.675365227,-0.146248879,-0.501452318,1.573235192,3.449770807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.6,650,712.3333333,62.33333333
28,28,28,-0.299813727,0.664489739,-0.439228154,-0.50569154,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.513720457,-1.015034436,-0.299772381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,None,576,628,52
29,29,29,-0.299813727,0.664489739,-0.439228154,-0.50569154,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.513720457,-1.015034436,-0.299772381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,478,518,40
30,30,30,-0.485700123,-0.157123123,-0.439228154,-0.503418985,-0.370637337,-0.096002403,0.172095359,-0.146248879,-0.511633609,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.2,560,604.1666667,44.16666667
31,31,31,-0.481569315,-0.157123123,-0.439228154,-0.503418985,-0.370637337,-0.096002403,0.172095359,-0.146248879,-0.511633609,-0.815936773,-0.291072745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.9,573,618,45
32,32,32,-0.481569315,-0.157123123,-0.439228154,-0.503418985,-0.370637337,-0.096002403,0.172095359,-0.146248879,-0.511633609,-0.815936773,-0.291072745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.2,573,616.8333333,43.83333333
33,33,33,-0.481569315,-0.157123123,-0.439228154,-0.503418985,-0.370637337,-0.096002403,0.172095359,-0.146248879,-0.511633609,-0.815936773,-0.291072745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.2,573,616.8333333,43.83333333
34,34,34,-0.299813727,0.266087765,-0.439228154,-0.466782645,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.477991083,-0.815936773,-0.304122199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.2,550,612,62
35,35,35,-0.588970344,-0.667894884,-0.400787441,-0.466782645,-0.345197407,-0.096002403,-0.61373173,-0.146248879,-0.474702716,0.37864921,-0.291072745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,None,570,630,60
36,36,36,0.319807596,0.134746455,-0.439228154,-0.466782645,-0.296763693,-0.096002403,-0.675365227,-0.146248879,-0.468442171,-0.855756305,0.422297421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.7,622,680,58
37,37,37,-0.341121815,-0.448992701,-0.439228154,-0.466782645,-0.128957999,-0.096002403,-0.675365227,-0.146248879,-0.446751595,-0.855756305,-0.304992163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,445,568,123
38,38,38,0.319807596,0.134746455,-0.439228154,-0.466782645,-0.128957999,-0.096002403,-0.675365227,-0.146248879,-0.446751595,-0.855756305,-0.280633181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5,543,589,46
39,39,39,-0.299813727,0.426616033,-0.439228154,-0.32905204,1.097050953,-0.096002403,1.019555944,-0.146248879,-0.16180193,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,None,575,614.5,39.5
40,40,40,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.299772381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,None,529,582,53
41,41,41,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.296292526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,None,552,601,49
42,42,42,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.291072745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6,578,641,63
43,43,43,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.299772381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,None,511,572,61
44,44,44,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.296292526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,None,532,581,49
45,45,45,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.291072745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.7,551,612,61
46,46,46,0.815504654,2.061085669,-0.439228154,-0.397917343,0.265360922,-0.096002403,2.714477116,-0.146248879,-0.335769202,-0.815936773,-0.30673209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.2,444,514.6666667,70.66666667
47,47,47,-0.299813727,-0.740862279,-0.439228154,-0.33345942,-0.370637337,-0.096002403,-0.675365227,-0.146248879,-0.355562643,-0.815936773,-0.305862126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,None,490,559.5,69.5
48,48,48,-0.299813727,-0.740862279,-0.439228154,-0.33345942,-0.370637337,-0.096002403,-0.675365227,-0.146248879,-0.355562643,-0.815936773,-0.204076383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5,550,597.1666667,47.16666667
49,49,49,-0.299813727,0.426616033,-0.439228154,-0.33345942,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.355562643,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,None,473,531,58
50,50,50,-0.299813727,0.441209512,-0.439228154,-0.33345942,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.355562643,-0.815936773,-0.282373108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,562,601.1666667,39.16666667
51,51,51,-0.299813727,0.441209512,-0.439228154,-0.33345942,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.355562643,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.2,570,607,37
52,52,52,-0.299813727,0.426616033,-0.439228154,-0.33345942,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.355562643,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,None,570,607,37
53,53,53,-0.299813727,0.441209512,-0.439228154,-0.33345942,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.355562643,-0.815936773,-0.282373108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.8,509,546.3333333,37.33333333
54,54,54,-0.299813727,0.426616033,-0.439228154,-0.33345942,-0.370637337,-0.096002403,1.019555944,-0.146248879,-0.355562643,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,None,423,507,84
55,55,55,0.055435832,0.266087765,-0.439228154,-0.32905204,-0.370637337,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.019546118,-0.307602053,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,None,571,612.5,41.5
56,56,56,0.055435832,0.266087765,-0.439228154,-0.32905204,-0.370637337,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.019546118,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,None,602,621,19
